iter	Passed	Remaining
427	1675	2238
428	1678	2234
429	1681	2229
430	1685	2224
431	1688	2219
432	1691	2214
433	1694	2210
434	1698	2205
435	1701	2200
436	1704	2195
437	1707	2190
438	1710	2186
439	1714	2181
440	1717	2177
441	1721	2172
442	1724	2168
443	1727	2163
444	1731	2159
445	1734	2154
446	1737	2149
447	1741	2146
448	1745	2141
449	1748	2137
450	1751	2132
451	1754	2127
452	1758	2122
453	1761	2118
454	1764	2113
455	1767	2108
456	1770	2104
457	1774	2099
458	1777	2094
459	1780	2090
460	1784	2086
461	1787	2081
462	1790	2077
463	1794	2072
464	1797	2068
465	1801	2064
466	1804	2059
467	1807	2055
468	1811	2050
469	1814	2046
470	1817	2041
471	1821	2037
472	1824	2032
473	1827	2028
474	1831	2024
475	1834	2019
476	1837	2014
477	1841	2010
478	1844	2006
479	1847	2001
480	1851	1997
481	1854	1992
482	1857	1988
483	1861	1984
484	1864	1980
485	1867	1975
486	1871	1971
487	1874	1966
488	1878	1962
489	1881	1958
490	1884	1953
491	1887	1949
492	1890	1944
493	1893	1939
494	1897	1935
495	1900	1931
496	1903	1926
497	1906	1922
498	1910	1918
499	1914	1914
500	1917	1909
501	1920	1905
502	1923	1900
503	1927	1896
504	1931	1892
505	1934	1888
506	1937	1884
507	1941	1879
508	1944	1875
509	1947	1871
510	1951	1867
511	1954	1862
512	1957	1858
513	1960	1854
514	1964	1849
515	1967	1845
516	1970	1841
517	1973	1836
518	1977	1832
519	1980	1828
520	1983	1823
521	1986	1819
522	1990	1815
523	1993	1810
524	1996	1806
525	2000	1802
526	2003	1798
527	2007	1794
528	2010	1789
529	2013	1785
530	2017	1781
531	2020	1777
532	2023	1773
533	2027	1768
534	2030	1764
535	2033	1760
536	2037	1756
537	2040	1752
538	2044	1748
539	2047	1744
540	2051	1740
541	2054	1736
542	2057	1732
543	2061	1727
544	2064	1723
545	2068	1719
546	2071	1715
547	2074	1711
548	2078	1707
549	2081	1703
550	2085	1699
551	2088	1695
552	2092	1691
553	2095	1686
554	2098	1682
555	2102	1678
556	2105	1674
557	2109	1670
558	2112	1666
559	2115	1662
560	2118	1658
561	2122	1653
562	2125	1649
563	2128	1645
564	2132	1641
565	2135	1637
566	2138	1633
567	2141	1629
568	2145	1625
569	2148	1620
570	2151	1616
571	2155	1612
572	2158	1608
573	2162	1604
574	2165	1600
575	2168	1596
576	2172	1592
577	2175	1588
578	2178	1584
579	2182	1580
580	2185	1576
581	2189	1572
582	2192	1568
583	2195	1564
584	2199	1560
585	2202	1556
586	2205	1552
587	2209	1548
588	2212	1544
589	2216	1540
590	2219	1535
591	2222	1531
592	2225	1527
593	2229	1523
594	2232	1519
595	2235	1515
596	2239	1511
597	2242	1507
598	2245	1503
599	2249	1499
600	2253	1495
601	2256	1491
602	2259	1487
603	2262	1483
604	2266	1479
605	2269	1475
606	2272	1471
607	2276	1467
608	2279	1463
609	2282	1459
610	2285	1455
611	2289	1451
612	2292	1447
613	2296	1443
614	2299	1439
615	2302	1435
616	2305	1431
617	2309	1427
618	2312	1423
619	2315	1419
620	2319	1415
621	2322	1411
622	2325	1407
623	2328	1403
624	2332	1399
625	2335	1395
626	2339	1391
627	2342	1387
628	2345	1383
629	2349	1379
630	2352	1375
631	2356	1371
632	2359	1367
633	2362	1364
634	2366	1360
635	2369	1356
636	2372	1352
637	2375	1348
638	2379	1344
639	2382	1340
640	2386	1336
641	2389	1332
642	2392	1328
643	2396	1324
644	2399	1320
645	2402	1316
646	2406	1312
647	2409	1308
648	2412	1304
649	2416	1301
650	2419	1297
651	2423	1293
652	2426	1289
653	2430	1285
654	2433	1281
655	2436	1277
656	2440	1273
657	2443	1270
658	2446	1266
659	2449	1262
660	2453	1258
661	2456	1254
662	2460	1250
663	2463	1246
664	2466	1242
665	2469	1238
666	2473	1234
667	2476	1230
668	2479	1226
669	2483	1223
670	2486	1219
671	2489	1215
672	2493	1211
673	2496	1207
674	2500	1203
675	2503	1199
676	2506	1196
677	2510	1192
678	2513	1188
679	2516	1184
680	2520	1180
681	2523	1176
682	2527	1172
683	2530	1169
684	2533	1165
685	2537	1161
686	2540	1157
687	2544	1153
688	2547	1149
689	2550	1146
690	2554	1142
691	2557	1138
692	2561	1134
693	2564	1130
694	2567	1126
695	2571	1123
696	2574	1119
697	2578	1115
698	2581	1111
699	2584	1107
700	2588	1103
701	2591	1100
702	2594	1096
703	2597	1092
704	2601	1088
705	2604	1084
706	2607	1080
707	2611	1076
708	2614	1072
709	2617	1069
710	2621	1065
711	2624	1061
712	2627	1057
713	2631	1053
714	2634	1050
715	2637	1046
716	2641	1042
717	2644	1038
718	2648	1034
719	2651	1030
720	2654	1027
721	2657	1023
722	2660	1019
723	2663	1015
724	2666	1011
725	2670	1007
726	2673	1003
727	2676	1000
728	2679	996
729	2683	992
730	2686	988
731	2689	984
732	2692	980
733	2696	977
734	2699	973
735	2702	969
736	2706	965
737	2709	961
738	2713	958
739	2716	954
740	2719	950
741	2723	946
742	2726	943
743	2729	939
744	2732	935
745	2735	931
746	2739	927
747	2742	923
748	2745	920
749	2749	916
750	2752	912
751	2755	908
752	2759	905
753	2762	901
754	2765	897
755	2769	893
756	2772	889
757	2775	886
758	2779	882
759	2782	878
760	2785	874
761	2789	871
762	2792	867
763	2795	863
764	2798	859
765	2802	856
766	2805	852
767	2808	848
768	2812	844
769	2815	840
770	2818	837
771	2822	833
772	2825	829
773	2829	826
774	2832	822
775	2835	818
776	2838	814
777	2841	810
778	2845	807
779	2848	803
780	2851	799
781	2854	795
782	2858	792
783	2861	788
784	2865	784
785	2868	780
786	2871	777
787	2875	773
788	2878	769
789	2882	766
790	2885	762
791	2888	758
792	2891	754
793	2894	751
794	2898	747
795	2901	743
796	2905	739
797	2908	736
798	2911	732
799	2914	728
800	2918	724
801	2921	721
802	2925	717
803	2928	713
804	2931	710
805	2935	706
806	2938	702
807	2941	699
808	2944	695
809	2948	691
810	2951	687
811	2954	684
812	2958	680
813	2961	676
814	2965	673
815	2968	669
816	2971	665
817	2975	661
818	2978	658
819	2981	654
