iter	RMSE
236	357634.6515
237	355766.9284
238	353940.973
239	352148.5497
240	350388.4061
241	348663.4923
242	346972.91
243	345320.263
244	345101.7074
245	344950.1681
246	343327.6344
247	341734.4036
248	340173.0558
249	338643.484
250	337144.8359
251	335678.1406
252	334232.0921
253	332822.8698
254	331441.6523
255	330089.8414
256	329851.6387
257	328563.2315
258	327214.1033
259	325912.7725
260	324636.83
261	323387.3339
262	322103.9319
263	320875.6277
264	319664.6405
265	318487.0376
266	317334.175
267	316639.7369
268	316366.9705
269	315114.6236
270	314996.3143
271	313859.1171
272	313740.2579
273	313629.9215
274	312516.0851
275	311425.788
276	310142.6624
277	309417.8441
278	309215.0469
279	308140.1003
280	307087.9699
281	306058.2451
282	305953.1124
283	305839.4867
284	305738.942
285	305633.6586
286	304413.1829
287	303399.9281
288	302408.2939
289	302148.2436
290	302052.2865
291	301944.637
292	300972.7484
293	299986.1822
294	299055.5155
295	298951.1729
296	298040.2644
297	297079.3361
298	296972.3877
299	296099.8045
300	295226.5037
301	295125.2593
302	294860.1138
303	294721.2638
304	294622.3737
305	294535.2316
306	293698.1848
307	293480.5547
308	292661.0508
309	291859.6524
310	291762.1517
311	291667.1279
312	290877.1728
313	290629.8646
314	290418.7385
315	290174.3277
316	290040.3276
317	289265.5938
318	288512.9873
319	287264.1857
320	287160.0747
321	287070.8417
322	286952.6002
323	285730.4394
324	285579.0004
325	285397.2673
326	284648.8881
327	284524.4763
328	283792.71
329	283726.5265
330	283573.9023
331	282847.1999
332	282681.0418
333	281983.359
334	281896.9842
335	281752.8033
336	281070.0574
337	280867.9092
338	280199.9622
339	280101.2706
340	280017.3759
341	279097.3108
342	278438.9268
343	278296.7284
344	277094.4122
345	277012.8757
346	276894.5167
347	276249.5734
348	275607.4668
349	275475.0363
350	275368.4173
351	275175.68
352	275052.1374
353	274885.6134
354	273692.8725
355	273540.9138
356	273384.2901
357	273245.4339
358	272610.222
359	272544.9637
360	272363.0471
361	271757.3122
362	271657.0147
363	271586.6824
364	270416.3707
365	269821.164
366	269239.3436
367	268670.5844
368	268114.6893
369	267987.0526
370	267443.4877
371	267157.8539
372	265995.9948
373	265905.5233
374	265774.7843
375	265597.1567
376	265500.2019
377	264964.9207
378	264441.711
379	264268.8451
380	264080.2978
381	263514.2602
382	263363.2238
383	263225.0137
384	262723.8328
385	262590.8306
386	261747.1849
387	261669.884
388	261504.6226
389	261339.3326
390	260846.878
391	260738.7677
392	260584.7857
393	260390.6998
394	259908.59
395	259145.8356
396	258673.3524
397	258211.6221
398	257005.9692
399	256921.9361
400	256801.2345
401	256674.5657
402	256180.4704
403	256043.7417
404	255910.1251
405	255821.4182
406	255377.1809
407	254943.1374
408	254784.1585
409	254606.0369
410	254419.9593
411	254287.6862
412	254169.8829
413	253740.1169
414	252548.3372
415	252130.6553
416	252048.1525
417	251231.5224
418	251095.5234
419	250650.1086
420	250547.0161
421	250409.1724
422	250298.9276
423	249890.8167
424	249498.9074
425	249411.2912
426	248650.711
427	248555.7669
428	248450.6451
429	247381.1655
430	246994.9116
431	246911.7073
432	246815.1032
433	246707.1357
434	246597.4517
435	246497.5096
436	246372.0086
437	246311.4593
438	246201.8788
439	246114.2135
440	245970.2586
441	245584.2639
442	245213.7067
443	245154.2542
444	244783.7023
445	244682.7324
446	244571.0947
447	244483.8899
448	244092.8033
449	243927.4856
450	243843.2816
451	243786.6722
452	243709.3612
453	243649.1927
454	243609.468
455	243532.3025
456	243482.24
457	243364.547
458	243017.3185
459	242890.7871
460	242551.4146
461	241446.4967
462	241340.6966
463	241270.9541
464	240937.6459
465	240858.6976
466	240525.681
467	240444.9757
468	240355.3237
469	240298.1951
470	239979.7515
471	239885.5314
472	239805.3477
473	239490.0674
474	239399.0216
475	239312.5711
476	238261.8894
477	237951.3247
478	237886.693
479	236816.3626
480	235765.3601
481	234766.2021
482	234664.7278
483	234358.404
484	234215.0856
485	234132.4232
486	233846.6278
487	233684.0843
488	233592.3256
489	233291.0104
490	232997.68
491	232906.9706
492	232835.7571
493	232785.1301
494	232669.7725
495	232587.0254
496	232271.3845
497	232194.6629
498	231487.3241
499	231315.6654
500	231218.2992
501	230936.5226
502	230655.9246
503	230587.2041
504	229630.917
505	229354.5629
506	229290.3646
507	229252.3902
508	229178.0504
509	229074.34
510	228803.8173
511	227864.3915
512	227798.4796
513	227533.3767
514	227467.6499
515	227033.8218
516	226924.7477
517	226852.2549
518	225932.7736
519	225817.0451
520	225556.2289
521	225301.6539
522	225219.4621
523	225109.0071
524	225046.4826
525	224967.0356
526	224356.7435
527	224257.0828
528	223367.8764
529	223117.1753
530	222187.5869
531	221943.8111
532	221880.7766
533	221640.675
534	221406.3265
535	221179.2309
536	220934.8639
537	220033.8982
538	219814.7438
539	219751.9037
540	219614.4338
541	219518.9382
542	219415.7487
543	219329.8944
544	219098.9893
545	218955.029
546	218099.5417
547	218033.604
548	217919.1171
549	217797.0671
550	217745.7817
551	217583.7474
552	217428.4756
553	217369.6043
554	217239.1222
555	217201.2895
556	217118.0391
557	216903.7061
558	216826.5378
559	216007.4924
560	215967.9838
561	215850.2745
562	215764.25
563	215705.0624
564	215670.6932
565	215547.9229
566	215452.4648
567	215427.0955
568	215216.0187
569	214693.7787
570	214595.288
571	213741.2324
572	213641.7666
573	213434.1055
574	213365.3055
575	213303.8548
576	213101.0512
577	212274.6922
578	212209.4535
579	212060.0747
580	211957.8326
581	211860.1751
582	211784.2179
583	211701.4547
584	210881.1646
585	210860.0514
586	210737.0062
587	210674.2585
588	210637.6736
589	210463.9452
590	210263.4235
591	210139.4666
592	210002.4601
593	209917.3169
594	209711.6914
595	209673.0758
596	209598.4914
597	209480.1089
598	209423.0123
599	209334.6624
600	209266.3665
601	209099.656
602	209025.9667
603	209007.6562
604	208812.9523
605	208751.4063
606	208692.6869
607	208627.1489
608	208581.1197
609	208458.9261
610	208328.9817
611	208295.8761
612	208267.9848
613	208079.7238
614	208015.7157
615	207974.5441
616	207944.0413
617	207926.9219
618	207855.432
619	207739.7326
620	207684.8043
621	207618.4409
622	207496.2286
623	207459.8364
624	207280.185
625	207215.6578
626	207108.6061
627	207033.7601
628	206851.0312
629	206281.5862
630	206094.5807
631	205327.2042
632	205189.5201
633	205076.6035
634	204970.5093
635	204931.655
636	204894.6631
637	204151.9314
638	204017.8691
639	203942.5174
640	203838.7292
641	203739.5349
642	203627.0428
643	202862.1065
644	202831.0799
645	202633.3162
646	202456.1
647	202390.2947
648	202314.1081
649	202272.9177
650	202241.2472
651	201520.4841
652	201393.0384
653	201222.7593
654	201157.6328
655	201086.5085
656	201012.2046
657	200845.7616
658	200759.8187
659	200725.8073
660	200563.6249
661	200440.0363
662	200383.9812
663	200225.0985
664	200042.3147
665	199926.1721
666	199887.1596
667	199847.8523
668	199788.8769
669	199748.6687
670	199698.7116
671	199632.1386
672	199561.3362
673	199476.0033
674	199396.1343
675	199321.2122
676	199315.8091
677	198612.4033
678	198456.1326
679	198284.4544
680	198189.3907
681	198141.5637
682	198005.868
683	197919.0906
684	197218.7194
685	197165.3363
686	196471.5936
687	196421.2368
688	196267.1784
689	196116.7789
690	196062.38
691	195915.5444
692	195850.1118
693	195706.7183
694	195566.7117
695	195457.0696
696	194776.8202
697	194724.8156
698	194676.7363
699	194604.6912
700	194555.3822
701	194479.6375
702	194420.9335
703	194364.9017
704	194257.6927
705	194185.2659
706	194047.6493
707	194013.782
708	193361.8864
709	193286.3217
710	193203.6861
711	193118.3004
712	192478.3297
713	192447.7323
714	192359.2787
715	192328.4263
716	192299.4277
717	192238.3494
718	191612.3479
719	191560.2399
720	191472.6531
721	191413.5343
722	191346.9381
723	191294.7941
724	191191.3741
725	191111.6712
726	191067.3603
727	190994.4082
728	190941.3862
729	190873.3177
730	190820.6384
731	190809.4183
732	190712.8911
733	190617.8658
734	190561.6887
735	190099.9168
736	190023.3948
737	189968.1442
738	189827.9548
739	189726.1688
740	189637.4939
741	189472.1625
742	189401.6453
743	189387.4486
744	189376.6819
745	189332.9579
746	189283.1446
747	189214.7584
748	189130.4612
749	189072.9648
750	189004.924
751	188924.3012
752	188835.8764
753	188770.7913
754	188658.9701
755	188652.156
756	188622.523
757	188582.6077
758	188499.9525
759	187987.5926
760	187950.3063
761	187855.7975
762	187401.8042
763	187338.4596
764	187294.5133
765	187193.8718
766	187115.0406
767	187072.4754
768	187023.9541
769	186965.8154
770	186902.7463
771	186306.7244
772	186250.9871
773	186201.7627
774	186030.45
775	186015.3219
776	185964.0013
777	185831.1751
778	185739.6632
779	185609.9224
780	185542.2203
781	185066.4764
782	184939.4981
783	184815.4591
784	184743.3701
785	184738.3312
786	184728.4666
787	184607.466
788	184546.4867
789	183961.4763
790	183925.2028
791	183919.4563
792	183850.5913
793	183280.2668
794	183216.1413
795	183199.3242
796	182637.0919
797	182589.3855
798	182511.698
799	182435.8522
800	181888.6061
801	181767.7283
802	181664.7998
803	181631.899
804	181557.6992
805	181523.6971
806	181431.8878
807	181426.371
808	181419.813
809	181236.9
810	181197.3394
811	181137.0344
812	180600.4941
813	180508.7285
814	180389.3513
815	180343.274
816	180261.893
817	180142.1855
818	180135.7491
819	180078.5662
820	180040.2562
821	179927.7117
822	179839.8149
823	179276.8472
824	179128.0037
825	179061.1557
826	178950.8564
827	178865.7856
828	178821.4409
829	178761.1484
830	178718.387
831	178608.6736
832	178600.0451
833	178564.6418
834	178436.6398
835	178350.8395
836	178294.2828
837	178236.7263
838	178163.0707
839	178104.6459
840	178047.8243
841	177538.6318
842	177502.9169
843	177390.7675
844	177037.8244
845	176971.1806
846	176864.9977
847	176761.2962
848	176704.0681
849	176660.045
850	176575.6552
851	176516.2245
852	176498.9834
853	175989.5907
854	175922.836
855	175813.099
856	175709.3433
857	175669.5841
858	175563.0909
859	175507.6625
860	175454.143
861	175342.862
862	175277.8825
863	175195.3186
864	175130.234
865	175063.7747
866	174957.1636
867	174924.7893
868	174823.5037
869	174792.5904
870	174671.7189
871	174629.6572
872	174556.8656
873	174503.9521
874	174498.3952
875	174439.3346
876	174400.8403
877	174328.551
878	174244.8709
879	174141.4885
880	174101.5181
881	174005.7832
882	173515.6925
883	173477.3082
884	173422.8609
885	173333.8273
886	172973.0799
887	172967.4387
888	172854.0067
889	172806.9661
890	172755.5308
891	172738.5939
892	172262.646
893	172217.8368
894	171752.6281
895	171661.9682
896	171586.841
897	171470.0975
898	171403.6614
899	171350.6343
900	171291.4042
901	171242.5553
902	171160.5917
903	170716.8883
904	170683.4269
905	170585.2323
906	170467.8017
907	170395.9888
908	169939.1267
909	169913.2049
910	169475.404
911	169406.8977
912	169311.2165
913	169284.4742
914	169206.4428
915	169158.8167
916	169113.7025
917	169078.1551
918	169073.0035
919	168634.2529
920	168617.9608
921	168559.1563
922	168509.1723
923	168424.6486
924	167996.0308
925	167550.5687
926	167157.0317
927	167104.2577
928	167068.7442
929	167004.4794
930	166962.1327
931	166810.9173
932	166546.1398
933	166482.7883
934	166449.2086
935	166408.3914
936	166354.9428
937	166105.2905
938	166019.1606
939	165943.8031
940	165939.7291
941	165893.3431
942	165842.527
943	165808.6405
944	165757.4826
945	165724.7257
946	165672.4423
947	165639.2569
948	165604.3998
949	165546.2089
950	165154.404
951	165124.5966
952	165061.8951
953	164679.507
954	164674.0875
955	164670.2762
956	164640.5555
957	164263.7786
958	164233.7951
959	164193.7366
960	164114.2972
961	164102.0039
962	164056.3559
963	164052.7143
964	164020.2825
965	163972.9006
966	163890.0741
967	163838.4958
968	163827.7828
969	163746.968
970	163668.9964
971	163601.2367
972	163522.3313
973	163480.6065
974	163403.5187
975	163308.8999
976	163233.6599
977	163174.0349
978	163133.1686
979	163120.3716
980	163054.8269
981	163020.1735
982	163014.6053
983	162650.1353
984	162221.5198
985	162177.1222
986	161969.8806
987	161895.853
988	161673.7008
989	161604.1697
990	161574.4508
991	161521.9063
992	161471.6373
993	161349.187
994	161287.377
995	161207.4087
996	161158.6395
997	161097.5507
998	161026.0963
999	160890.4648
